AA11,AA12,a,b,bs,city,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,p,pimg,r,s,sq,t,tp,type,v,district_code
住,,忠孝街60巷21弄1~30號,透天厝,,B,,10704,無,,全/二層,-1,49,966,1,1,0,24.349221588769243,120.61899129640646,無,"194,674",bt_02.png,9,27.22,3Yp0lLWETsm+7lqmlf1n9LkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),530,Biz,3房2廳2衛有隔間,B11
住,,甲后路五段451~480號,透天厝,,B,,10704,無,,全/四層,-1,27,967,1,1,0,24.345333368990183,120.63017572377217,無,"94,529",bt_02.png,9,61.36,emF4kDnPvBxbS9dcvfIsGrkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),580,Biz,4房3廳3衛有隔間,B11
住,,水源路728巷1~30號,透天厝,,B,,10704,無,,全/四層,-1,,968,3,1,0,24.34879938534798,120.6321234377071,無,"156,840",bt_02.png,25,51.01,inLIYjuHSvQaZfRHq+fUv7kZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),800,Biz,4房3廳4衛有隔間,B11
住,,育英路241~270號,透天厝,,B,,10704,無,,全/二層,-1,37,969,1,1,0,24.35361611522026,120.62047326743543,無,"268,579",bt_02.png,9,30.90,VLbn63kbeqXpKNx1g67xsLkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),830,Biz,3房2廳3衛有隔間,B11
住,,德興路181~210號,透天厝,,B,,10704,無,,全/四層,0,,970,1,1,0,24.351936044904683,120.62006394445467,無,"202,188",bt_02.png,11,98.92,SRKqN/hvSdXCH/QvQW8/cbkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),"2,000",Biz,3房2廳4衛有隔間,B11
鄉村區,乙種建築用地,橫圳街241~270號,華廈(10層含以下有電梯),57.73%,B,"450,000",10704,有,63.80%,七層/七層,1,,971,1,1,1,24.357496513018738,120.61321943855357,無,"155,633",bt_06.png,34,36.57,Sd7lsZNmZiB0E9mxwpm5rbkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物)+車位,560,Biz,3房2廳2衛有隔間,B11
住,,永順街60巷1~30號,透天厝,,B,,10704,無,,全/二層,-1,57,972,1,1,0,24.342375731926584,120.61969571203745,無,"137,283",bt_02.png,9,32.78,R8W2Z32NgDmu1Ku3cq7mKLkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),450,Biz,2房1廳2衛有隔間,B11
商,,水源路361~390號,透天厝,,B,,10704,無,,全/二層,-1,38,973,1,1,0,24.34299035145934,120.62870526673667,無,"249,656",bt_02.png,10,30.04,sUqaqr73hFlIYHDdzZTejLkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),750,Biz,4房3廳3衛有隔間,B11
住,,水源路219巷1~30號,透天厝,,B,,10704,無,,全/五層,-1,22,974,3,1,0,24.34221475164351,120.62741209890311,無,"94,539",bt_02.png,79,84.62,qWg3qqr0SElUTfoeCZajrrkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),800,Biz,4房2廳3衛有隔間,B11
住,,和平路273巷1~30號,透天厝,,B,,10704,無,,全/二層,-1,41,975,2,1,0,24.355836721866208,120.62170258432012,無,"150,264",bt_02.png,10,29.95,oRWfa54GTrauDj0Ep+LJKrkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),450,Biz,4房2廳3衛有隔間,B11
住,,大智街129巷1~30號,透天厝,,B,,10704,無,,全/二層,-1,28,976,1,1,0,24.355315719526846,120.62889571011787,無,"171,207",bt_02.png,11,46.73,KDKIYnavu1PvjNoLpgPi4LkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),800,Biz,5房4廳4衛有隔間,B11
住,,仁愛街181~210號,華廈(10層含以下有電梯),57.28%,B,"500,000",10704,無,,二層/七層,0,,977,1,1,1,24.352163456839822,120.62033814070595,有,"151,590",bt_06.png,35,42.09,2nTr12FwDeMAgOCk2fwrEbkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物)+車位,638,Biz,3房2廳2衛有隔間,B11
住,,德興路151~180號,透天厝,,B,,10704,無,,全/四層,0,,978,1,1,0,24.35184962001064,120.62030704583685,無,"204,344",bt_02.png,10,88.77,V1Kicu1APWwTzlV+E72skbkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),"1,814",Biz,3房2廳4衛有隔間,B11
鄉村區,乙種建築用地,橫圳街241~270號,華廈(10層含以下有電梯),56.70%,B,"450,000",10704,有,62.44%,二層/七層,1,,979,1,1,1,24.357496513018738,120.61321943855357,無,"147,894",bt_06.png,34,37.83,hVl4OgrI4FAbET7p4bdPEbkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物)+車位,553,Biz,3房2廳2衛有隔間,B11
其他,,大安港路53巷9弄1~30號,華廈(10層含以下有電梯),61.87%,B,"500,000",10704,有,,四層/八層,1,,980,1,1,1,24.34915757723514,120.61581014926404,有,"165,752",bt_06.png,33,41.15,ygHxK8dR9VkatnsGpQwmNLkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物)+車位,682,Biz,3房1廳2衛有隔間,B11
工業區,丁種建築用地,青二路1巷1~30號,透天厝,,B,,10704,無,,全/二層,-1,28,981,1,1,0,24.40380391663967,120.64309517523762,無,"104,747",bt_02.png,13,28.64,ZFUZefsATdMWKzbgIqg9lrkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),300,Biz,4房2廳3衛有隔間,B11
商,,中山路一段931~960號,華廈(10層含以下有電梯),72.78%,B,,10704,無,,四層/十層,0,24,982,1,1,1,24.344361011175824,120.62615373098434,無,"119,322",bt_06.png,36,37.71,2LgqNQvi/W773+IIX0i3PbkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物)+車位,450,Biz,3房2廳2衛有隔間,B11
